id,date,commodity_group,commodity_id,commodity,zone,centre_id,centre,price
1145315,2013-01-02,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1144591,2013-01-01,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1148026,2013-01-07,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1149002,2013-01-08,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1150886,2013-01-10,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1153188,2013-01-15,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1154833,2013-01-17,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1146199,2013-01-03,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1147052,2013-01-04,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1149977,2013-01-09,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1151845,2013-01-11,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1152705,2013-01-14,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1154046,2013-01-16,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1155743,2013-01-18,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1156418,2013-01-21,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1159991,2013-01-28,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1157290,2013-01-22,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1159139,2013-01-24,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1161721,2013-01-31,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1165476,2013-02-06,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1163554,2013-02-04,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1162672,2013-02-01,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1166417,2013-02-07,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1168346,2013-02-11,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1167384,2013-02-08,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1170241,2013-02-13,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1169274,2013-02-12,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1172848,2013-02-18,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1178946,2013-02-27,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1177427,2013-02-25,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1178088,2013-02-26,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1185393,2013-03-08,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1180864,2013-03-01,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1181776,2013-03-04,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1182732,2013-03-05,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1183605,2013-03-06,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1186330,2013-03-11,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1184523,2013-03-07,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1193151,2013-03-20,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1187267,2013-03-12,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1189301,2013-03-14,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1191246,2013-03-18,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1188266,2013-03-13,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1192153,2013-03-19,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1194124,2013-03-21,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1199310,2013-04-02,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1196908,2013-03-26,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1195941,2013-03-25,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1197709,2013-03-28,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1198424,2013-04-01,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1203168,2013-04-08,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1200362,2013-04-03,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1201313,2013-04-04,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1202341,2013-04-05,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1211197,2013-04-22,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,23
1204155,2013-04-09,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1205148,2013-04-10,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1208405,2013-04-16,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1209280,2013-04-17,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1210257,2013-04-18,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1206691,2013-04-12,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,19
1214823,2013-04-29,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,23
1212179,2013-04-23,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,23
1212851,2013-04-25,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,23
1213808,2013-04-26,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,23
1217453,2013-05-02,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,25
1221428,2013-05-08,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,25
1219458,2013-05-06,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,25
1218501,2013-05-03,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,25
1220473,2013-05-07,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,25
1224205,2013-05-13,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,25
1225819,2013-05-15,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,25
1228402,2013-05-20,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,24
1231283,2013-05-23,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,24
1232328,2013-05-24,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,24
1234222,2013-05-28,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,24
1244329,2013-06-11,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,24
1245243,2013-06-12,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,24
1252213,2013-06-21,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,24
1254174,2013-06-25,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,24
1255081,2013-06-26,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,24
1259041,2013-07-02,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,24
1261045,2013-07-04,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,24
1262086,2013-07-05,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,24
1269799,2013-07-17,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,24
1271746,2013-07-19,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,24
1272753,2013-07-22,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,24
1274765,2013-07-24,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,25
1276758,2013-07-26,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,25
1279862,2013-07-31,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,25
1281969,2013-08-02,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,25
1284636,2013-08-07,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",2,Agartala,25
