id,date,commodity_group,commodity_id,commodity,zone,centre_id,centre,price
3817990,2019-01-03,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3820013,2019-01-04,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3821980,2019-01-05,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3824991,2019-01-07,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3814256,2019-01-01,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3816049,2019-01-02,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3823769,2019-01-06,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3826949,2019-01-08,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3828690,2019-01-09,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3830585,2019-01-10,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3855767,2019-01-24,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3832740,2019-01-11,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3839315,2019-01-15,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3841212,2019-01-16,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3843225,2019-01-17,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3845164,2019-01-18,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3848715,2019-01-20,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3851666,2019-01-22,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3853667,2019-01-23,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3847102,2019-01-19,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3849680,2019-01-21,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3859801,2019-01-26,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3857904,2019-01-25,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3860848,2019-01-27,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3867794,2019-01-31,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3865664,2019-01-30,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3861858,2019-01-28,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3863805,2019-01-29,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3869993,2019-02-01,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3879169,2019-02-06,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3875029,2019-02-04,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3872140,2019-02-02,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3877068,2019-02-05,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3881350,2019-02-07,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3887929,2019-02-11,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3883473,2019-02-08,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3889894,2019-02-12,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3896319,2019-02-15,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3892009,2019-02-13,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3894114,2019-02-14,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3914582,2019-02-25,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3898519,2019-02-16,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3903072,2019-02-19,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3904833,2019-02-20,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3900211,2019-02-17,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3901146,2019-02-18,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3906998,2019-02-21,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3909142,2019-02-22,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3911292,2019-02-23,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3913136,2019-02-24,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3918879,2019-02-27,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3925381,2019-03-02,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3916688,2019-02-26,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3921036,2019-02-28,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3923223,2019-03-01,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3931974,2019-03-06,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3927330,2019-03-03,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3928437,2019-03-04,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3929860,2019-03-05,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3934099,2019-03-07,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3945807,2019-03-13,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3936239,2019-03-08,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3938479,2019-03-09,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3940211,2019-03-10,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3941508,2019-03-11,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3943613,2019-03-12,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3950284,2019-03-15,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3948024,2019-03-14,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3954630,2019-03-17,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3952527,2019-03-16,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3958042,2019-03-19,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3955870,2019-03-18,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3965472,2019-03-23,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3963603,2019-03-22,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3968626,2019-03-25,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3973016,2019-03-27,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3960170,2019-03-20,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3970774,2019-03-26,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3975260,2019-03-28,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3982978,2019-04-01,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3977436,2019-03-29,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3979654,2019-03-30,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3981689,2019-03-31,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3985139,2019-04-02,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3996835,2019-04-08,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3989565,2019-04-04,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3991789,2019-04-05,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3987322,2019-04-03,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4009603,2019-04-15,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
3998892,2019-04-09,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4001035,2019-04-10,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4003211,2019-04-11,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4005238,2019-04-12,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4007315,2019-04-13,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4008502,2019-04-14,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4013729,2019-04-17,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4011584,2019-04-16,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4021711,2019-04-22,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4015360,2019-04-18,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4020227,2019-04-21,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4017079,2019-04-19,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4018437,2019-04-20,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4025773,2019-04-24,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4030083,2019-04-26,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4027918,2019-04-25,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4037193,2019-04-30,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4032206,2019-04-27,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4033933,2019-04-28,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4035114,2019-04-29,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4046917,2019-05-05,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4042930,2019-05-03,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4045125,2019-05-04,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4039391,2019-05-01,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4040987,2019-05-02,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4050028,2019-05-07,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4048153,2019-05-06,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4051692,2019-05-08,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4058267,2019-05-11,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4053877,2019-05-09,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4056070,2019-05-10,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4065085,2019-05-15,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4059924,2019-05-12,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4060988,2019-05-13,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4062965,2019-05-14,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4067104,2019-05-16,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4072811,2019-05-19,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4069016,2019-05-17,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4071220,2019-05-18,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4075981,2019-05-21,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4074058,2019-05-20,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4078187,2019-05-22,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4080330,2019-05-23,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4082296,2019-05-24,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4097581,2019-06-01,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4084402,2019-05-25,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4095532,2019-05-31,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4087171,2019-05-27,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4089257,2019-05-28,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4091406,2019-05-29,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4093360,2019-05-30,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4099298,2019-06-02,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4100427,2019-06-03,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4104669,2019-06-05,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4102502,2019-06-04,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4106038,2019-06-06,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4116566,2019-06-12,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4110025,2019-06-08,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4111354,2019-06-09,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4112374,2019-06-10,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4107946,2019-06-07,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4114403,2019-06-11,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4125052,2019-06-16,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4118805,2019-06-13,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4123203,2019-06-15,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
4121036,2019-06-14,"Grains & Pulses",1,"Atta (Wheat)","West Zone",4,Ahmedabad,22
