id,date,commodity_group,commodity_id,commodity,zone,centre_id,centre,price
3188237,2018-01-04,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",5,Aizawl,25
3190278,2018-01-05,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",5,Aizawl,25
3197261,2018-01-09,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",5,Aizawl,25
3199242,2018-01-10,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",5,Aizawl,25
3195306,2018-01-08,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",5,Aizawl,25
3203285,2018-01-12,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",5,Aizawl,25
3201244,2018-01-11,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",5,Aizawl,25
3207672,2018-01-15,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",5,Aizawl,25
3220354,2018-01-22,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",5,Aizawl,25
3211327,2018-01-17,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",5,Aizawl,25
3215336,2018-01-19,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",5,Aizawl,25
3209445,2018-01-16,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",5,Aizawl,25
3224076,2018-01-24,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",5,Aizawl,25
3222195,2018-01-23,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",5,Aizawl,25
3225981,2018-01-25,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",5,Aizawl,25
3233079,2018-01-30,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",5,Aizawl,25
3245742,2018-02-06,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",5,Aizawl,25
3235054,2018-01-31,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",5,Aizawl,25
3238930,2018-02-02,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",5,Aizawl,25
3243789,2018-02-05,"Grains & Pulses",1,"Atta (Wheat)","North-East Zone",5,Aizawl,25
