id,date,commodity_group,commodity_id,commodity,zone,centre_id,centre,price
5515566,2021-05-28,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,38
5511297,2021-05-26,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,38
5509404,2021-05-25,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,38
5513439,2021-05-27,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,38
5535795,2021-06-07,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5525637,2021-06-02,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,38
5527972,2021-06-03,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5530368,2021-06-04,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5605069,2021-07-07,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5602401,2021-07-06,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,38
5654195,2021-07-28,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5616010,2021-07-12,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5621001,2021-07-14,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5673658,2021-08-05,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5656867,2021-07-29,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5671006,2021-08-04,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5797219,2021-09-23,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,38
5752220,2021-09-06,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5676374,2021-08-06,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5693175,2021-08-13,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5707877,2021-08-19,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5736483,2021-08-31,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5757844,2021-09-08,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5763291,2021-09-10,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5800324,2021-09-24,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5817718,2021-09-30,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5829080,2021-10-04,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5991203,2021-11-29,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5832298,2021-10-05,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5841799,2021-10-08,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5888229,2021-10-25,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5891360,2021-10-26,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5900883,2021-10-29,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5835618,2021-10-06,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5849873,2021-10-11,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5927908,2021-11-08,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,38
6016488,2021-12-07,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
6010947,2021-12-05,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
6013271,2021-12-06,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
5994607,2021-11-30,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
6004543,2021-12-03,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
6059969,2021-12-21,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,37
6044681,2021-12-16,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,37
6056771,2021-12-20,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,37
6041443,2021-12-15,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,37
6066321,2021-12-23,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,36
6077192,2021-12-27,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,37
6069511,2021-12-24,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,37
6074985,2021-12-26,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,37
6083242,2021-12-29,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,37
6080347,2021-12-28,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,37
6086410,2021-12-30,"Grains & Pulses",1,"Atta (Wheat)","West Zone",6,Ajmer,39
