id,date,commodity_group,commodity_id,commodity,zone,centre_id,centre,price
7523114,2023-01-04,"Grains & Pulses",1,"Atta (Wheat)","West Zone",190,Akluj,41
7985257,2023-03-07,"Grains & Pulses",1,"Atta (Wheat)","West Zone",190,Akluj,34
7991877,2023-03-08,"Grains & Pulses",1,"Atta (Wheat)","West Zone",190,Akluj,34
7504101,2023-01-01,"Grains & Pulses",1,"Atta (Wheat)","West Zone",190,Akluj,41
7515589,2023-01-03,"Grains & Pulses",1,"Atta (Wheat)","West Zone",190,Akluj,41
7977480,2023-03-06,"Grains & Pulses",1,"Atta (Wheat)","West Zone",190,Akluj,34
7508467,2023-01-02,"Grains & Pulses",1,"Atta (Wheat)","West Zone",190,Akluj,41
7530542,2023-01-05,"Grains & Pulses",1,"Atta (Wheat)","West Zone",190,Akluj,41
7563893,2023-01-10,"Grains & Pulses",1,"Atta (Wheat)","West Zone",190,Akluj,41
7538107,2023-01-06,"Grains & Pulses",1,"Atta (Wheat)","West Zone",190,Akluj,41
7545590,2023-01-07,"Grains & Pulses",1,"Atta (Wheat)","West Zone",190,Akluj,41
7552334,2023-01-08,"Grains & Pulses",1,"Atta (Wheat)","West Zone",190,Akluj,41
7556963,2023-01-09,"Grains & Pulses",1,"Atta (Wheat)","West Zone",190,Akluj,41
7579221,2023-01-12,"Grains & Pulses",1,"Atta (Wheat)","West Zone",190,Akluj,41
7571576,2023-01-11,"Grains & Pulses",1,"Atta (Wheat)","West Zone",190,Akluj,41
7586927,2023-01-13,"Grains & Pulses",1,"Atta (Wheat)","West Zone",190,Akluj,41
7605468,2023-01-16,"Grains & Pulses",1,"Atta (Wheat)","West Zone",190,Akluj,44
7594736,2023-01-14,"Grains & Pulses",1,"Atta (Wheat)","West Zone",190,Akluj,44
7600772,2023-01-15,"Grains & Pulses",1,"Atta (Wheat)","West Zone",190,Akluj,44
7612771,2023-01-17,"Grains & Pulses",1,"Atta (Wheat)","West Zone",190,Akluj,44
7636860,2023-01-20,"Grains & Pulses",1,"Atta (Wheat)","West Zone",190,Akluj,44
7620795,2023-01-18,"Grains & Pulses",1,"Atta (Wheat)","West Zone",190,Akluj,44
7628860,2023-01-19,"Grains & Pulses",1,"Atta (Wheat)","West Zone",190,Akluj,44
7644860,2023-01-21,"Grains & Pulses",1,"Atta (Wheat)","West Zone",190,Akluj,44
7652254,2023-01-22,"Grains & Pulses",1,"Atta (Wheat)","West Zone",190,Akluj,44
