id,date,commodity_group,commodity_id,commodity,zone,centre_id,centre,price
7579358,2023-01-12,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7977621,2023-03-06,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,41
7571714,2023-01-11,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,39
7985380,2023-03-07,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,41
7991938,2023-03-08,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,41
7665417,2023-01-24,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7587069,2023-01-13,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7605590,2023-01-16,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7620932,2023-01-18,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7628993,2023-01-19,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7612909,2023-01-17,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,39
7636997,2023-01-20,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7644985,2023-01-21,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,39
7652338,2023-01-22,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7757088,2023-02-05,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7687449,2023-01-27,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7695732,2023-01-28,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7702853,2023-01-29,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7716759,2023-01-31,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7725068,2023-02-01,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7749789,2023-02-04,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7673557,2023-01-25,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7681698,2023-01-26,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7708449,2023-01-30,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7733320,2023-02-02,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7741575,2023-02-03,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7770542,2023-02-07,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7762499,2023-02-06,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7778684,2023-02-08,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7815937,2023-02-13,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7786934,2023-02-09,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7803802,2023-02-11,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7795379,2023-02-10,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7810626,2023-02-12,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7824319,2023-02-14,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7832640,2023-02-15,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7869376,2023-02-20,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7849124,2023-02-17,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7857442,2023-02-18,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7840861,2023-02-16,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7863765,2023-02-19,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7923313,2023-02-27,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7894244,2023-02-23,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7910922,2023-02-25,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7877571,2023-02-21,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7885941,2023-02-22,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7902654,2023-02-24,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7918066,2023-02-26,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7931510,2023-02-28,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7997037,2023-03-09,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,41
7947998,2023-03-02,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7956221,2023-03-03,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7939754,2023-03-01,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7964437,2023-03-04,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
7971965,2023-03-05,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,38
8025086,2023-03-13,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,41
8004419,2023-03-10,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,41
8012833,2023-03-11,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,41
8019542,2023-03-12,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,41
8067786,2023-03-18,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,41
8033712,2023-03-14,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,41
8042213,2023-03-15,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,41
8050585,2023-03-16,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,41
8059185,2023-03-17,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,41
8081106,2023-03-20,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,41
8075557,2023-03-19,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,41
8153953,2023-03-29,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,41
8089733,2023-03-21,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,41
8106169,2023-03-23,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,41
8114411,2023-03-24,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,41
8123125,2023-03-25,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,41
8136395,2023-03-27,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,41
8145035,2023-03-28,"Grains & Pulses",1,"Atta (Wheat)","West Zone",365,Akola,41
