id,date,commodity_group,commodity_id,commodity,zone,centre_id,centre,price
7006451,2022-09-29,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
6965527,2022-09-20,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
6996814,2022-09-27,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
6974923,2022-09-22,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,62
6984201,2022-09-24,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
6992008,2022-09-26,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7001612,2022-09-28,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7011382,2022-09-30,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7016189,2022-10-01,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7024038,2022-10-03,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7062652,2022-10-12,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7035703,2022-10-06,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7040340,2022-10-07,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7052849,2022-10-10,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7057624,2022-10-11,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7072879,2022-10-14,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7067734,2022-10-13,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7112031,2022-10-22,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7077888,2022-10-15,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7106773,2022-10-21,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7150928,2022-10-31,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,65
7123651,2022-10-25,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7128014,2022-10-26,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7132731,2022-10-27,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7137322,2022-10-28,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,65
7142566,2022-10-29,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,65
7155836,2022-11-01,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,65
7206039,2022-11-11,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,65
7161032,2022-11-02,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,65
7185920,2022-11-07,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7191158,2022-11-08,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7166465,2022-11-03,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,65
7171890,2022-11-04,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7177225,2022-11-05,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7195745,2022-11-09,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7200837,2022-11-10,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7276885,2022-11-25,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,65
7240263,2022-11-18,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,65
7271107,2022-11-24,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,65
7219244,2022-11-14,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,65
7224544,2022-11-15,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,65
7245536,2022-11-19,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,65
7254228,2022-11-21,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,65
7259805,2022-11-22,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,65
7265375,2022-11-23,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,65
7282832,2022-11-26,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,65
7292342,2022-11-28,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,65
7310382,2022-12-01,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7298274,2022-11-29,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7304292,2022-11-30,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,64
7332287,2022-12-05,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,63
7316348,2022-12-02,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,63
7322327,2022-12-03,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,63
7344667,2022-12-07,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,63
7338354,2022-12-06,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,63
7350819,2022-12-08,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,63
7372820,2022-12-12,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,63
7356941,2022-12-09,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,63
7398038,2022-12-16,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,63
7378954,2022-12-13,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,63
7391520,2022-12-15,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,63
7385253,2022-12-14,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,63
7404904,2022-12-17,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,63
7429714,2022-12-21,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,63
7415903,2022-12-19,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,63
7422732,2022-12-20,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,63
7469211,2022-12-27,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,63
7436678,2022-12-22,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,63
7443822,2022-12-23,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,63
7450947,2022-12-24,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,63
7462261,2022-12-26,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,63
7483109,2022-12-29,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,63
7476086,2022-12-28,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,63
7489960,2022-12-30,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,63
7497321,2022-12-31,"Grains & Pulses",1,"Atta (Wheat)","South Zone",195,Alapuzha,63
