id,date,commodity_group,commodity_id,commodity,zone,centre_id,centre,price
6104110,2022-01-05,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,24
6100943,2022-01-04,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,24
6107401,2022-01-06,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,24
6110609,2022-01-07,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,24
6113880,2022-01-08,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,24
6121935,2022-01-11,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,24
6118712,2022-01-10,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,24
6116511,2022-01-09,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,24
6142337,2022-01-18,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,24
6128397,2022-01-13,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,24
6134141,2022-01-15,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,24
6137019,2022-01-16,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,24
6125163,2022-01-12,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,24
6131433,2022-01-14,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,24
6139237,2022-01-17,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,24
6145518,2022-01-19,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,24
6148745,2022-01-20,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,24
6151885,2022-01-21,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,24
6155042,2022-01-22,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,24
6158018,2022-01-23,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,24
6160272,2022-01-24,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,24
6163412,2022-01-25,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,24
6183735,2022-02-01,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6166537,2022-01-26,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,24
6171988,2022-01-28,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,24
6180620,2022-01-31,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6168684,2022-01-27,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,24
6175204,2022-01-29,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,24
6186974,2022-02-02,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6196717,2022-02-05,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6193476,2022-02-04,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6190288,2022-02-03,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6201909,2022-02-07,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6199664,2022-02-06,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6208478,2022-02-09,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6205256,2022-02-08,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6249993,2022-02-23,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6214954,2022-02-11,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6222878,2022-02-14,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6231833,2022-02-17,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6235109,2022-02-18,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6220657,2022-02-13,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6228881,2022-02-16,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6238381,2022-02-19,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6241301,2022-02-20,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6243523,2022-02-21,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6246807,2022-02-22,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6253264,2022-02-24,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6273554,2022-03-03,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6256609,2022-02-25,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6270371,2022-03-02,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6259817,2022-02-26,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6262594,2022-02-27,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6267858,2022-03-01,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6282971,2022-03-06,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6280120,2022-03-05,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6276763,2022-03-04,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6285123,2022-03-07,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6291634,2022-03-09,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6288337,2022-03-08,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,25
6331378,2022-03-23,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6315487,2022-03-17,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6320422,2022-03-19,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6322806,2022-03-20,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6328243,2022-03-22,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6294925,2022-03-10,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6297852,2022-03-11,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6301089,2022-03-12,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6303660,2022-03-13,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6305888,2022-03-14,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6309114,2022-03-15,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6312262,2022-03-16,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6325001,2022-03-21,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6337407,2022-03-25,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6343602,2022-03-27,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6349145,2022-03-29,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6355872,2022-03-31,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6362529,2022-04-02,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6365536,2022-04-03,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6371332,2022-04-05,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6400920,2022-04-14,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6403823,2022-04-15,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6412364,2022-04-18,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6415995,2022-04-19,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6419504,2022-04-20,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6423058,2022-04-21,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6426560,2022-04-22,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6334391,2022-03-24,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6340573,2022-03-26,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6345985,2022-03-28,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6352428,2022-03-30,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6359208,2022-04-01,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6368053,2022-04-04,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6374574,2022-04-06,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6378002,2022-04-07,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6384975,2022-04-09,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
6390281,2022-04-11,"Grains & Pulses",1,"Atta (Wheat)","North Zone",7,Aligarh,26
